RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
279,Control,21,4,1,1,pre,4.2,3,5.25,1,6,3,1,1.45,1.2
279,Control,21,4,1,1,post,3.4,2.3333333333333335,5,1,5.875,3,1,1.75,1.4
280,Direct,22,2,2,1,pre,3.6,2.3333333333333335,4.5,2,4.75,3,3,1.9,1.2
280,Direct,22,2,2,1,post,3.6,3,4.85,2,5.375,2,3,1.7,1
281,Indirect,21,3,1,1,pre,2.8,4.333333333333333,5.45,3,6.75,2,1,1.5,1.4
281,Indirect,21,3,1,1,post,3.2,4.333333333333333,5.35,3,6.5,2,1,1.4,1.2
282,Control,20,3,1,1,pre,3,5,5.45,4,6.625,2,2,1.45,1.4
282,Control,20,3,1,1,post,3.2,5,5.55,4,6,3,2,1.15,1.2
283,Direct,19,1,2,1,pre,3.2,2,4.65,2,4.75,4,1,2.5,3.6
283,Direct,19,1,2,1,post,3.8,3.3333333333333335,4.45,2,4.625,2,1,2,1.8
300,Indirect,19,2,2,2,pre,3.2,4,4.45,3,5.875,2,1,2.05,2.2
300,Indirect,19,2,2,2,post,2.8,4,4.7,3,5.625,3,2,1.9,2.6
