RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
58,Control,31,4,2,1,pre,3.2,2.6666666666666665,3.8,5,5.25,3,1,2.75,3.6
58,Control,31,4,2,1,post,2.4,2.6666666666666665,3.3,5,5.625,3,1,2.75,3.2
59,Direct,22,2,1,1,pre,1.8,1.6666666666666667,2.4,4,3.625,3,1,3,2.4
59,Direct,22,2,1,1,post,1.8,2,2.7,4,4.25,2,1,2.75,2.2
60,Indirect,18,1,2,1,pre,3.4,3,5.1,2,6.25,2,1,1.6,1.6
60,Indirect,18,1,2,1,post,3,2.6666666666666665,5.4,2,6.125,1,1,1.4,1.4
61,Control,19,2,2,1,pre,4,3.6666666666666665,5.15,4,6.375,3,4,1.8,1.8
61,Control,19,2,2,1,post,4.6,3.6666666666666665,5.1,3,6.375,2,3,1.5,1.4
62,Direct,19,1,1,1,pre,3.4,4,4.7,2,6,3,1,1.9,1.6
62,Direct,19,1,1,1,post,3.6,4,4.944444444444445,2,6.625,1,1,1.65,1
63,Indirect,31,3,2,1,pre,2.8,2.6666666666666665,4,5,4.625,2,1,2.05,2.4
63,Indirect,31,3,2,1,post,3.4,3.3333333333333335,4.05,4,5,1,1,2.2,1.6
64,Control,18,1,2,1,pre,1.6,2.6666666666666665,3.1,2,4.875,3,1,2.5,2.2
64,Control,18,1,2,1,post,1.6,2.6666666666666665,2.9,4,5,4,1,2.8,2
65,Direct,27,2,1,1,pre,3.8,4,5.1,2,6.5,4,1,1.85,1.6
65,Direct,27,2,1,1,post,4.6,4.666666666666667,5.65,2,6.625,1,1,1.3,1
66,Indirect,20,2,2,1,pre,4.6,4.333333333333333,4.6,4,6.625,2,2,2.15,1.6
66,Indirect,20,2,2,1,post,4.6,4.333333333333333,4.5,4,6.625,3,4,2.3,1.6
67,Control,19,2,2,1,pre,3.2,4,5.4,4,6.125,4,1,1.2,1.8
67,Control,19,2,2,1,post,3.2,4.333333333333333,5.2,4,6,3,1,1.15,1.4
68,Direct,18,1,NA,1,pre,4.2,5,5.2,1,6.875,3,1,1.9,2.4
68,Direct,18,1,NA,1,post,4.6,5,5.45,1,6.875,2,1,1.45,1.6
69,Indirect,21,4,2,1,pre,3,3.3333333333333335,5.05,1,5.75,3,2,1.8,1
69,Indirect,21,4,2,1,post,2.6,3.6666666666666665,5.15,1,5.625,2,2,1.85,1.2
70,Control,27,3,1,2,pre,3.8,2.6666666666666665,3.55,3,5.75,4,1,2.7,3
70,Control,27,3,1,2,post,3.8,3.6666666666666665,4.2,3,6.25,4,1,2.5,2.2
71,Direct,22,4,2,1,pre,2.2,3.3333333333333335,4.45,3,5.375,4,3,1.85,1.2
71,Direct,22,4,2,1,post,2.6,3,4.5,3,5.375,2,2,1.75,1.2
72,Indirect,18,1,2,1,pre,4.8,2.6666666666666665,3.7,3,6.25,3,3,2.45,2
72,Indirect,18,1,2,1,post,4.6,2.6666666666666665,3.7,3,6.375,2,5,2.6,1.4
73,Control,20,3,1,1,pre,3,3,4.35,4,5.625,3,1,1.5,1.2
73,Control,20,3,1,1,post,2.6,3,4.3,4,5.25,2,1,1.45,1
74,Direct,20,3,1,1,pre,3,4.666666666666667,5.4,2,6.375,2,1,1.4,1
74,Direct,20,3,1,1,post,3,3.6666666666666665,5.65,2,6.5,1,1,1.05,1
75,Indirect,19,1,2,2,pre,2.8,4.333333333333333,5.2,3,6,3,4,1.85,1.4
75,Indirect,19,1,2,2,post,3,4.666666666666667,5.4,3,6.625,2,3,1.25,1
76,Control,20,1,2,1,pre,3.2,3.3333333333333335,5.2,3,6.125,2,2,1.9,1.2
76,Control,20,1,2,1,post,3.2,3.6666666666666665,5.2,3,6.125,2,2,1.6,1
77,Direct,18,1,2,1,pre,3.4,3.3333333333333335,3.85,4,6.125,3,4,2.6,2.6
77,Direct,18,1,2,1,post,3,4.333333333333333,4.05,3,6,2,3,2.35,2.4
78,Indirect,18,1,2,1,pre,2.8,4.333333333333333,4.6,3,6.375,3,1,1.85,1.4
78,Indirect,18,1,2,1,post,2.4,4.333333333333333,4.85,2,6.125,2,1,1.45,1.2
79,Control,18,1,2,2,pre,4,3.6666666666666665,4.85,3,6.625,4,3,2.1,1.2
79,Control,18,1,2,2,post,3.6,5,5.15,3,6.125,3,4,1.6,1
80,Direct,20,2,1,1,pre,1.4,2.3333333333333335,2.15,4,3.5,5,1,3.05,2.2
80,Direct,20,2,1,1,post,1.2,2.3333333333333335,2.35,3,3.5,3,1,3.05,1
81,Indirect,19,2,2,1,pre,2.8,3.3333333333333335,3.9,4,4.875,3,4,2.2,2
81,Indirect,19,2,2,1,post,2,3.3333333333333335,4.1,3,4.375,2,2,2.45,1.4
82,Control,19,2,2,1,pre,4.4,3.6666666666666665,5.4,2,6.375,4,2,1.25,2
82,Control,19,2,2,1,post,4.2,3.3333333333333335,5.555555555555555,3,6.375,1,2,1.0526315789473684,1.4
83,Direct,18,1,2,1,pre,4.8,4.333333333333333,5.15,2,6.75,3,3,1.4,1.2
83,Direct,18,1,2,1,post,4.8,4.333333333333333,5.45,2,6.875,2,3,1.4,1.2
84,Indirect,21,2,1,1,pre,3.2,3.3333333333333335,3.7,3,5.875,4,2,2.2,1.8
84,Indirect,21,2,1,1,post,2.8,4,4.7,3,6.25,3,2,2.2,1.2
85,Control,19,1,1,1,pre,3.6,3.3333333333333335,4.75,2,5.875,4,1,1.8,1.6
85,Control,19,1,1,1,post,3.6,3,4.75,2,5.875,4,1,1.8,1.8
86,Direct,18,1,1,1,pre,3.2,4,4.8,4,6.625,3,1,1.85,1.2
86,Direct,18,1,1,1,post,4,4,5.15,3,7,2,1,1.6,1
87,Indirect,18,1,2,1,pre,3.2,1.6666666666666667,4,3,5.25,4,4,2.25,2
87,Indirect,18,1,2,1,post,2.6,2.3333333333333335,4.05,2,5.25,4,5,2.35,2.6
88,Control,22,4,1,1,pre,3.6,2.6666666666666665,5,3,6.5,3,1,2,2.6
88,Control,22,4,1,1,post,4,3.3333333333333335,5.35,3,6.625,2,1,1.85,1.8
89,Direct,22,4,1,1,pre,3.4,2.3333333333333335,4.4,2,3.875,5,3,2.15,3.4
89,Direct,22,4,1,1,post,4,3.3333333333333335,4.777777777777778,1,4.875,2,2,1.4,2.2
