"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","FS_pre","FS_post","PANAS_PA_pre","PANAS_PA_post","SCS_pre","SCS_post","SHS_pre","SHS_post","Engagement_pre","Engagement_post","Stress_pre","Stress_post","Homesick_pre","Homesick_post","Lonely_pre","Lonely_post","PANAS_NA_pre","PANAS_NA_post"
"69",69,"Indirect",21,4,2,1,5.75,5.625,3,2.6,5.05,5.15,3.33333333333333,3.66666666666667,1,1,3,2,2,2,1.8,1.85,1,1.2
"70",70,"Control",27,3,1,2,5.75,6.25,3.8,3.8,3.55,4.2,2.66666666666667,3.66666666666667,3,3,4,4,1,1,2.7,2.5,3,2.2
"71",71,"Direct",22,4,2,1,5.375,5.375,2.2,2.6,4.45,4.5,3.33333333333333,3,3,3,4,2,3,2,1.85,1.75,1.2,1.2
"72",72,"Indirect",18,1,2,1,6.25,6.375,4.8,4.6,3.7,3.7,2.66666666666667,2.66666666666667,3,3,3,2,3,5,2.45,2.6,2,1.4
"73",73,"Control",20,3,1,1,5.625,5.25,3,2.6,4.35,4.3,3,3,4,4,3,2,1,1,1.5,1.45,1.2,1
"74",74,"Direct",20,3,1,1,6.375,6.5,3,3,5.4,5.65,4.66666666666667,3.66666666666667,2,2,2,1,1,1,1.4,1.05,1,1
"75",75,"Indirect",19,1,2,2,6,6.625,2.8,3,5.2,5.4,4.33333333333333,4.66666666666667,3,3,3,2,4,3,1.85,1.25,1.4,1
"76",76,"Control",20,1,2,1,6.125,6.125,3.2,3.2,5.2,5.2,3.33333333333333,3.66666666666667,3,3,2,2,2,2,1.9,1.6,1.2,1
"77",77,"Direct",18,1,2,1,6.125,6,3.4,3,3.85,4.05,3.33333333333333,4.33333333333333,4,3,3,2,4,3,2.6,2.35,2.6,2.4
"78",78,"Indirect",18,1,2,1,6.375,6.125,2.8,2.4,4.6,4.85,4.33333333333333,4.33333333333333,3,2,3,2,1,1,1.85,1.45,1.4,1.2
"79",79,"Control",18,1,2,2,6.625,6.125,4,3.6,4.85,5.15,3.66666666666667,5,3,3,4,3,3,4,2.1,1.6,1.2,1
"80",80,"Direct",20,2,1,1,3.5,3.5,1.4,1.2,2.15,2.35,2.33333333333333,2.33333333333333,4,3,5,3,1,1,3.05,3.05,2.2,1
"81",81,"Indirect",19,2,2,1,4.875,4.375,2.8,2,3.9,4.1,3.33333333333333,3.33333333333333,4,3,3,2,4,2,2.2,2.45,2,1.4
"82",82,"Control",19,2,2,1,6.375,6.375,4.4,4.2,5.4,5.55555555555556,3.66666666666667,3.33333333333333,2,3,4,1,2,2,1.25,1.05263157894737,2,1.4
"83",83,"Direct",18,1,2,1,6.75,6.875,4.8,4.8,5.15,5.45,4.33333333333333,4.33333333333333,2,2,3,2,3,3,1.4,1.4,1.2,1.2
"84",84,"Indirect",21,2,1,1,5.875,6.25,3.2,2.8,3.7,4.7,3.33333333333333,4,3,3,4,3,2,2,2.2,2.2,1.8,1.2
"85",85,"Control",19,1,1,1,5.875,5.875,3.6,3.6,4.75,4.75,3.33333333333333,3,2,2,4,4,1,1,1.8,1.8,1.6,1.8
"86",86,"Direct",18,1,1,1,6.625,7,3.2,4,4.8,5.15,4,4,4,3,3,2,1,1,1.85,1.6,1.2,1
"87",87,"Indirect",18,1,2,1,5.25,5.25,3.2,2.6,4,4.05,1.66666666666667,2.33333333333333,3,2,4,4,4,5,2.25,2.35,2,2.6
"88",88,"Control",22,4,1,1,6.5,6.625,3.6,4,5,5.35,2.66666666666667,3.33333333333333,3,3,3,2,1,1,2,1.85,2.6,1.8
"89",89,"Direct",22,4,1,1,3.875,4.875,3.4,4,4.4,4.77777777777778,2.33333333333333,3.33333333333333,2,1,5,2,3,2,2.15,1.4,3.4,2.2
"90",90,"Indirect",22,4,1,1,6.25,6,4.4,2.6,5.3,4.5,4,3,2,2,3,3,1,1,1.4,1.45,1,1
"91",91,"Control",20,3,2,1,6.125,6.125,4,4,5.2,5,4,3.66666666666667,2,2,2,4,1,1,1.35,1.1,1.2,1
"92",92,"Direct",19,2,1,1,5.875,5.75,3.8,3.6,5.15,5.3,4,4,3,3,4,4,1,1,1.6,1.35,2.2,2.2
"93",93,"Indirect",19,2,2,1,5.25,5.375,3.6,4.4,3.9,3.75,1.66666666666667,2.66666666666667,4,3,3,2,1,1,2.10526315789474,1.95,2.2,1.6
"94",94,"Control",19,1,2,1,5.875,5.75,3.6,3.8,4.2,4.05,3,3.33333333333333,3,3,3,2,1,1,2.3,2.15,1.6,1.2
"95",95,"Direct",19,1,1,1,6.5,6.625,4.2,3.8,4.8,5.35,3.33333333333333,4,2,2,4,2,1,1,1.7,1.31578947368421,1.8,1
"96",96,"Indirect",18,1,1,1,6.125,6.125,3.2,3,4.5,4.65,4.66666666666667,4.33333333333333,4,4,4,4,1,1,1.85,1.85,1.2,1.8
"97",97,"Control",19,1,2,1,6.375,6.375,4.2,4,3.3,3.25,3,3,3,3,3,3,5,5,2.95,2.8,3,2.6
"98",98,"Direct",21,1,2,1,6.375,6.5,3.2,2.6,5.55,5.65,4.33333333333333,4.33333333333333,2,2,3,1,1,1,1.31578947368421,1.3,1,1
"99",99,"Indirect",20,3,2,1,5.75,6,3.6,3.4,5,4.85,4,4,3,2,3,2,1,1,1.4,1.35,1.2,1
"100",100,"Control",19,2,2,1,3.875,4.625,2.8,3,3.3,3.05,1.33333333333333,1.33333333333333,2,2,4,4,3,5,2.7,2.9,3.4,3.6
"101",101,"Direct",19,2,2,1,4.75,4.5,3.2,3.4,3.85,3.8,2.66666666666667,2.66666666666667,2,2,2,1,2,1,2.15,2.1,2.2,2
"102",102,"Indirect",19,1,2,1,4,5,2.8,2.8,2.75,3.25,1.33333333333333,2.66666666666667,3,3,4,2,3,3,2.65,2.5,2.6,1.8
"103",103,"Control",20,3,2,1,6.5,6.5,3.8,3.8,3.55,4,3.66666666666667,3.66666666666667,1,1,4,2,2,1,2.75,2.5,1.2,1
"104",104,"Direct",23,4,2,1,6.5,6.25,3.4,4,5.45,5.45,4.33333333333333,4.66666666666667,2,2,2,1,2,1,1.3,1.1,1,1
"105",105,"Indirect",26,5,2,1,6.75,6.75,4.4,4.4,5.8,5.78947368421053,5,5,5,5,1,1,1,1,1.1,1.2,1,1
"106",106,"Control",19,2,2,1,6.25,6.125,3.8,3.8,4.3,4.45,3.66666666666667,4,2,2,2,3,1,1,2.05,2.05,1.4,1.6
"107",107,"Direct",18,1,2,1,6.875,7,4,3.8,5.8,5.9,5,5,3,2,2,2,1,2,1.25,1.15,1.6,1.6
"108",108,"Indirect",19,2,1,1,6.125,6.125,3.4,2.8,4.6,4.8,4,3.33333333333333,3,4,2,2,1,2,1.7,1.8,1.6,1.4
"109",109,"Control",18,1,2,1,6.25,6.375,3.4,2.4,4.45,4.45,4.66666666666667,5,3,3,4,2,5,5,2.1,2.2,1.4,1.2
"110",110,"Direct",19,2,2,1,5.125,5.5,3,2.2,4.55,4.9,3,3.33333333333333,3,3,3,2,2,2,1.5,1.55,1.6,1.2
"111",111,"Indirect",18,1,2,1,5.125,4.875,3.2,2.8,2.9,3.10526315789474,2,2,3,4,2,2,2,3,3.2,3.15,3.4,3.4
"112",112,"Control",19,2,NA,5,6.375,6.25,3.6,3.6,5.75,5.45,4.66666666666667,4.66666666666667,2,1,2,3,5,2,1.3,1.45,1.4,1
"113",113,"Direct",19,2,1,1,5.125,5.625,3.2,3.2,3.6,3.9,3.33333333333333,3,4,4,3,2,1,1,2.55,2.35,1.4,1
"114",114,"Indirect",20,1,1,1,6.125,6.125,3.4,3.4,5.4,5.3,3.66666666666667,3.66666666666667,3,4,3,2,1,1,1.45,1.4,1.2,1
"115",115,"Control",18,1,2,1,6.5,6.5,3.4,3.6,5.55,3,4.33333333333333,4.33333333333333,3,3,1,1,3,2,1.35,1.15,1.4,1.4
"116",116,"Direct",19,2,1,1,5.125,4.875,3.2,3,4.15,4.15,3,3.66666666666667,4,4,3,2,1,1,2.4,2.4,2.8,2
"117",117,"Indirect",21,2,2,1,6,5.85714285714286,4,3,5.1,5,3.66666666666667,3.66666666666667,1,2,3,3,2,2,1.9,2.2,2,1.6
"118",118,"Control",20,2,2,1,6,5.875,4,3,4.85,4.65,3,3,1,2,2,2,2,3,1.75,2.05,1.8,1.8
"119",119,"Direct",19,2,1,1,5.75,5.375,3.6,3.4,4.7,4.65,4,4,3,3,4,3,1,1,1.9,1.9,2.4,2
"120",120,"Indirect",19,1,2,1,5.75,6.125,4.6,4.6,3.5,4.05,2.66666666666667,3,4,4,4,2,3,2,2.45,2.45,2.8,2
"121",121,"Control",18,1,2,1,7,6.875,3.6,3,5.2,5.6,3.66666666666667,4.33333333333333,2,5,2,1,2,1,1.75,1.55,1.6,1
"122",122,"Direct",18,1,2,1,6.25,6.25,4,4,5.3,5.6,4.33333333333333,4.66666666666667,2,2,3,1,2,2,1.2,1.15,1.2,1
"123",123,"Indirect",18,1,1,1,5.375,5.875,3,3.2,4.45,4.85,3.66666666666667,4,3,2,3,2,1,1,1.7,1.45,1.8,1.2
"124",124,"Control",18,2,2,4,6.5,6.125,4,4.4,4.4,4.3,1.33333333333333,1.66666666666667,3,2,5,3,4,5,2.3,2.15,2.2,2.8
"125",125,"Direct",19,2,2,2,5.5,5.875,3.2,3.4,4.5,4.55,4,4,3,3,2,1,3,2,2,1.95,1.8,1.2
"126",126,"Indirect",18,1,1,1,5.75,6,3.8,3.6,4.8,5,4.33333333333333,4.33333333333333,1,2,4,3,1,1,1.78947368421053,1.8,2.2,1.8
"127",127,"Control",18,1,2,1,6,5.875,2.6,2.2,5.35,5.45,4.66666666666667,4.33333333333333,2,2,4,4,1,1,1.65,1.65,1.4,1
"128",128,"Direct",21,4,2,1,6.375,6.25,3,3.8,5.2,5.45,3.33333333333333,4,1,1,3,1,2,2,1.4,1.1,1.6,1.2
"129",129,"Indirect",21,3,2,1,6,6.375,3,4,4.45,4.35,3.33333333333333,4,2,1,2,1,3,2,2.25,1.75,2.6,3
"130",130,"Control",18,1,1,1,4.625,4.875,3.2,2.2,3.7,4.05,2.66666666666667,3,3,4,4,3,1,1,2.45,2,3.2,1.2
"131",131,"Direct",19,1,2,1,3.875,4.5,2.6,2.4,3.55,3.55,1,1.66666666666667,4,2,4,3,3,4,2.6,2.45,2.6,1.8
"132",132,"Indirect",19,1,2,1,5.875,6,3.2,3.2,4.57894736842105,4.8,3,3,4,3,3,2,3,2,2,1.85,2.4,1.4
"133",133,"Control",19,2,2,2,6.125,5.875,3.6,3.8,4.9,4.4,4,4,2,4,3,2,3,3,1.75,1.75,1.8,2
"134",134,"Direct",24,2,1,2,6.25,6.75,3.6,4.6,5.15,5.8,3.33333333333333,4,4,2,2,1,4,2,1.55,1.25,1,1
"135",135,"Indirect",18,1,2,1,4.75,5,2.6,2.8,5,5,3.33333333333333,3.66666666666667,2,2,3,2,2,2,1.45,1.35,2.4,1.2
"136",136,"Control",18,1,2,1,4.25,3.5,3.4,2.8,3.75,3.7,1.33333333333333,1.66666666666667,2,3,3,3,1,1,2.45,2.7,2.4,1.2
"137",137,"Direct",22,3,NA,3,6,5.875,3.6,4.2,4.45,4.85,3.66666666666667,4,4,4,2,2,2,4,2.5,2.25,2.8,2
"138",138,"Indirect",20,3,2,1,4.875,4.875,3.6,3.6,3.05,2.75,2,2,4,4,3,3,3,2,3,3.05,1.6,1.6
"139",139,"Control",19,2,2,2,6,6.125,3.4,4,5,5.2,3.66666666666667,3.66666666666667,2,2,3,2,4,2,1.95,1.57894736842105,1.2,1
"140",140,"Direct",20,2,1,2,5.375,6.625,1.2,2.4,3,5.2,2.66666666666667,3.66666666666667,3,3,5,1,1,1,3.05,1.9,4,1
"141",141,"Indirect",18,1,2,1,6.375,6,3.6,3.4,4.5,4.95,4.33333333333333,4,2,2,3,4,4,4,2.2,2,2,2
"142",142,"Control",18,1,2,1,5.375,5.375,1.4,3,4.45,4.55,3.33333333333333,2.66666666666667,3,2,5,4,4,3,2.26315789473684,1.95,2.8,1.8
"143",143,"Direct",20,2,2,1,5.125,5,2.8,2.6,4.6,4.55,2.33333333333333,2.33333333333333,3,3,2,2,2,1,1.65,1.8,2.6,2.2
"144",144,"Indirect",21,4,2,1,5.75,6.375,4.2,4.2,4.7,5.5,3,3.33333333333333,1,1,4,4,1,3,2.2,1.45,1.6,1.4
"145",145,"Control",20,2,1,1,5.5,5.625,3.4,3,3.95,3.5,3,3,4,4,5,5,1,1,2.85,2.55,2.6,2.8
"146",146,"Direct",30,2,1,1,5,4.875,2.6,3.2,4.05,4.3,3.33333333333333,3.33333333333333,5,4,2,1,1,1,1.7,1.8,1.6,1.2
"147",147,"Indirect",21,2,2,1,6,6.125,3.8,3.8,4.1,4.55,4,3.66666666666667,4,3,2,2,3,2,1.7,1.8,1.2,1.4
